,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Gültige,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
2,001,Husum  Südtondern  Eiderstedt,117513.0,94615.0,1693.0,92922.0,28901.0,0,0,0,19987.0,0,0,0,11817.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405.0,0,0,0,0,0,0,0,30812.0,0,0,0
3,002,Flensburg,131177.0,112871.0,1431.0,111440.0,0.0,0,0,0,16801.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1895.0,0,0,0,0,0,0,0,92744.0,0,0,0
4,003,Schleswig  Eckernförde,123483.0,103269.0,1376.0,101893.0,28850.0,0,0,0,17489.0,0,0,0,1101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530.0,0,0,0,0,0,0,0,52923.0,0,0,0
5,004,Norder- und Süderdithmarschen,116535.0,94709.0,1765.0,92944.0,30412.0,0,0,0,24129.0,0,0,0,3950.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1857.0,0,0,0,0,0,0,0,32596.0,0,0,0
6,005,Rendsburg,133432.0,110887.0,1756.0,109131.0,41567.0,0,0,0,24087.0,0,0,0,2893.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2679.0,0,0,0,0,0,0,0,37905.0,0,0,0
7,006,Kiel,151052.0,124920.0,2347.0,122573.0,64894.0,0,0,0,43712.0,0,0,0,1766.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6690.0,0,0,0,0,0,0,0,5511.0,0,0,0
8,007,Plön  Eutin/Nord,110396.0,93000.0,2547.0,90453.0,42242.0,0,0,0,31127.0,0,0,0,8064.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2162.0,0,0,0,0,0,0,0,6858.0,0,0,0
9,008,Oldenburg  Eutin/Süd,111164.0,88512.0,3612.0,84900.0,31237.0,0,0,0,33479.0,0,0,0,6558.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2787.0,0,0,0,0,0,0,0,10839.0,0,0,0
10,009,Lübeck,125050.0,100569.0,3247.0,97322.0,24228.0,0,0,0,34865.0,0,0,0,15353.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4282.0,0,0,0,0,0,0,0,18594.0,0,0,0
11,010,Segeberg  Neumünster,120692.0,101517.0,2180.0,99337.0,30757.0,0,0,0,30137.0,0,0,0,6123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505.0,0,0,0,0,0,0,0,29815.0,0,0,0
12,011,Steinburg,126182.0,106285.0,2447.0,103838.0,26932.0,0,0,0,37916.0,0,0,0,14078.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3755.0,0,0,0,0,0,0,0,21157.0,0,0,0
13,012,Pinneberg,128599.0,108495.0,3577.0,104918.0,27588.0,0,0,0,38117.0,0,0,0,15229.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5634.0,0,0,0,0,0,0,0,18350.0,0,0,0
14,013,Stormarn,117945.0,96331.0,2994.0,93337.0,30133.0,0,0,0,34888.0,0,0,0,12208.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3520.0,0,0,0,0,0,0,0,12588.0,0,0,0
15,014,Herzogtum Lauenburg,117802.0,95040.0,2377.0,92663.0,21215.0,0,0,0,26523.0,0,0,0,4352.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3043.0,0,0,0,0,0,0,0,37530.0,0,0,0
16,901,Schleswig-Holstein,1731022.0,1431020.0,33349.0,1397671.0,428956.0,0,0,0,413257.0,0,0,0,103492.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43744.0,0,0,0,0,0,0,0,408222.0,0,0,0
18,015,Hamburg I,132234.0,109154.0,2418.0,106736.0,37450.0,0,0,0,42598.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9239.0,0,0,0,0,0,0,0,17449.0,0,0,0
19,016,Hamburg II,137647.0,111009.0,2155.0,108854.0,45546.0,0,0,0,38368.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6929.0,0,0,0,0,0,0,0,18011.0,0,0,0
20,017,Hamburg III,161430.0,125503.0,2684.0,122819.0,46234.0,0,0,0,43717.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13922.0,0,0,0,0,0,0,0,18946.0,0,0,0
21,018,Hamburg IV,146198.0,117759.0,2805.0,114954.0,0.0,0,0,0,49938.0,0,0,0,36162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9200.0,0,0,0,0,0,0,0,19654.0,0,0,0
22,019,Hamburg V,154483.0,126794.0,3221.0,123573.0,0.0,0,0,0,50313.0,0,0,0,42655.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9880.0,0,0,0,0,0,0,0,20725.0,0,0,0
23,020,Hamburg VI,121164.0,97758.0,1984.0,95774.0,0.0,0,0,0,36611.0,0,0,0,37107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7694.0,0,0,0,0,0,0,0,14362.0,0,0,0
24,021,Hamburg VII,149168.0,122337.0,2259.0,120078.0,49556.0,0,0,0,43269.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7941.0,0,0,0,0,0,0,0,19312.0,0,0,0
25,022,Hamburg VIII,138890.0,116121.0,3465.0,112656.0,0.0,0,0,0,54059.0,0,0,0,27447.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11942.0,0,0,0,0,0,0,0,19208.0,0,0,0
26,902,Hamburg,1141214.0,926435.0,20991.0,905444.0,178786.0,0,0,0,358873.0,0,0,0,143371.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76747.0,0,0,0,0,0,0,0,147667.0,0,0,0
28,023,Aurich  Emden,120088.0,83234.0,1954.0,81280.0,10916.0,0,0,0,28847.0,0,0,0,8116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4272.0,0,0,0,0,0,0,0,29129.0,0,0,0
29,024,Leer,119529.0,81168.0,2637.0,78531.0,20957.0,0,0,0,27549.0,0,0,0,9684.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2207.0,0,0,0,0,0,0,0,18134.0,0,0,0
30,025,Wilhelmshaven  Friesland,126709.0,98748.0,2498.0,96250.0,9859.0,0,0,0,31399.0,0,0,0,13120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5133.0,0,0,0,0,0,0,0,36739.0,0,0,0
31,026,Emsland,112188.0,87478.0,2272.0,85206.0,43001.0,0,0,0,16088.0,0,0,0,1490.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1455.0,0,0,0,0,0,0,0,23172.0,0,0,0
32,027,Bersenbrück  Lingen,109361.0,92984.0,1832.0,91152.0,33086.0,0,0,0,27580.0,0,0,0,1611.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1546.0,0,0,0,0,0,0,0,27329.0,0,0,0
33,028,Osnabrück-Stadt und -Land,148082.0,121409.0,1953.0,119456.0,42323.0,0,0,0,31945.0,0,0,0,2676.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090.0,0,0,0,0,0,0,0,39422.0,0,0,0
34,029,Delmenhorst  Wesermarsch,138636.0,106585.0,2519.0,104066.0,16234.0,0,0,0,32962.0,0,0,0,19582.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3560.0,0,0,0,0,0,0,0,31728.0,0,0,0
35,030,Oldenburg  Ammerland,141441.0,101434.0,1316.0,100118.0,12302.0,0,0,0,19852.0,0,0,0,24837.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3512.0,0,0,0,0,0,0,0,39615.0,0,0,0
36,031,Vechta  Cloppenburg,102242.0,88130.0,1683.0,86447.0,39726.0,0,0,0,9592.0,0,0,0,1030.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905.0,0,0,0,0,0,0,0,35194.0,0,0,0
37,032,Cuxhaven  Hadeln  Wesermünde,134461.0,96929.0,2119.0,94810.0,8772.0,0,0,0,32476.0,0,0,0,9583.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2464.0,0,0,0,0,0,0,0,41515.0,0,0,0
38,033,Stade  Bremervörde,143677.0,115313.0,2274.0,113039.0,10510.0,0,0,0,44714.0,0,0,0,4095.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911.0,0,0,0,0,0,0,0,51809.0,0,0,0
39,034,Verden  Rotenburg  Osterholz,140931.0,106308.0,2227.0,104081.0,12384.0,0,0,0,31555.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2329.0,0,0,0,0,0,0,0,57813.0,0,0,0
40,035,Lüneburg  Dannenberg,127233.0,94147.0,2231.0,91916.0,14469.0,0,0,0,29111.0,0,0,0,6889.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3520.0,0,0,0,0,0,0,0,37927.0,0,0,0
41,036,Harburg  Soltau,120254.0,91281.0,1947.0,89334.0,13120.0,0,0,0,26165.0,0,0,0,6060.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2656.0,0,0,0,0,0,0,0,41333.0,0,0,0
42,037,Fallingbostel  Hoya,138330.0,102488.0,1832.0,100656.0,10146.0,0,0,0,27004.0,0,0,0,4966.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1727.0,0,0,0,0,0,0,0,56813.0,0,0,0
43,038,Celle,128894.0,98985.0,1957.0,97028.0,10570.0,0,0,0,27030.0,0,0,0,3568.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3131.0,0,0,0,0,0,0,0,52729.0,0,0,0
44,039,Uelzen,116122.0,91372.0,1785.0,89587.0,8224.0,0,0,0,32266.0,0,0,0,3508.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1945.0,0,0,0,0,0,0,0,43644.0,0,0,0
45,040,Stadt Hannover-Nord,170195.0,124589.0,1696.0,122893.0,19729.0,0,0,0,54253.0,0,0,0,15042.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5375.0,0,0,0,0,0,0,0,28494.0,0,0,0
46,041,Stadt Hannover-Süd,133897.0,103344.0,1545.0,101799.0,14993.0,0,0,0,56107.0,0,0,0,8099.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5463.0,0,0,0,0,0,0,0,17137.0,0,0,0
47,042,Hannover-Land,127779.0,104129.0,2985.0,101144.0,17385.0,0,0,0,46405.0,0,0,0,6906.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4424.0,0,0,0,0,0,0,0,26024.0,0,0,0
48,043,Neustadt  Grafschaft Schaumburg,134370.0,107767.0,2008.0,105759.0,11806.0,0,0,0,36446.0,0,0,0,4817.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2996.0,0,0,0,0,0,0,0,49694.0,0,0,0
49,044,Nienburg  Schaumburg-Lippe,118876.0,93403.0,2117.0,91286.0,13965.0,0,0,0,32607.0,0,0,0,3950.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2557.0,0,0,0,0,0,0,0,38207.0,0,0,0
50,045,Diepholz  Melle  Wittlage,116872.0,84649.0,3201.0,81448.0,20307.0,0,0,0,22343.0,0,0,0,1146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852.0,0,0,0,0,0,0,0,35800.0,0,0,0
51,046,Hameln  Springe,144693.0,117846.0,2093.0,115753.0,13121.0,0,0,0,39486.0,0,0,0,4433.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3262.0,0,0,0,0,0,0,0,55451.0,0,0,0
52,047,Alfeld  Holzminden,127904.0,107610.0,2690.0,104920.0,14260.0,0,0,0,45558.0,0,0,0,6343.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3576.0,0,0,0,0,0,0,0,35183.0,0,0,0
53,048,Hildesheim-Stadt und -Land,131331.0,108795.0,1973.0,106822.0,23022.0,0,0,0,33274.0,0,0,0,2653.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2483.0,0,0,0,0,0,0,0,45390.0,0,0,0
54,049,Gandersheim  Salzgitter,131526.0,104987.0,2684.0,102303.0,16343.0,0,0,0,36040.0,0,0,0,11776.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4145.0,0,0,0,0,0,0,0,33999.0,0,0,0
55,050,Stadt Braunschweig,159954.0,117971.0,1838.0,116133.0,19571.0,0,0,0,46311.0,0,0,0,6373.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5471.0,0,0,0,0,0,0,0,38407.0,0,0,0
56,051,Braunschweig-Land  Helmstedt,125331.0,103718.0,2766.0,100952.0,16828.0,0,0,0,31595.0,0,0,0,3848.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2406.0,0,0,0,0,0,0,0,46275.0,0,0,0
57,052,Wolfenbüttel  Goslar-Land,125041.0,100411.0,2305.0,98106.0,18268.0,0,0,0,38748.0,0,0,0,8062.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3492.0,0,0,0,0,0,0,0,29536.0,0,0,0
58,053,Harz,131460.0,104296.0,2262.0,102034.0,15480.0,0,0,0,36444.0,0,0,0,12911.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3382.0,0,0,0,0,0,0,0,33817.0,0,0,0
59,054,Peine  Gifhorn,120849.0,98197.0,2370.0,95827.0,14674.0,0,0,0,32824.0,0,0,0,2299.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3056.0,0,0,0,0,0,0,0,42974.0,0,0,0
60,055,Northeim  Einbeck  Duderstadt,127694.0,106160.0,2237.0,103923.0,18404.0,0,0,0,31631.0,0,0,0,13552.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1817.0,0,0,0,0,0,0,0,38519.0,0,0,0
61,056,Göttingen  Münden,129660.0,94099.0,2193.0,91906.0,8936.0,0,0,0,29088.0,0,0,0,19116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3012.0,0,0,0,0,0,0,0,31754.0,0,0,0
62,903,Niedersachsen,4425610.0,3439964.0,73999.0,3365965.0,593691.0,0,0,0,1125295.0,0,0,0,252141.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104132.0,0,0,0,0,0,0,0,1290706.0,0,0,0
64,057,Bremen-Ost,124661.0,104604.0,1738.0,102866.0,20255.0,0,0,0,30718.0,0,0,0,18886.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4875.0,0,0,0,0,0,0,0,28132.0,0,0,0
65,058,Bremen-West,126163.0,101239.0,2124.0,99115.0,14139.0,0,0,0,35787.0,0,0,0,13887.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8080.0,0,0,0,0,0,0,0,27222.0,0,0,0
66,059,Bremerhaven  Bremen-Nord,129015.0,105137.0,3253.0,101884.0,16896.0,0,0,0,38004.0,0,0,0,6455.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7575.0,0,0,0,0,0,0,0,32954.0,0,0,0
67,904,Bremen,379839.0,310980.0,7115.0,303865.0,51290.0,0,0,0,104509.0,0,0,0,39228.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20530.0,0,0,0,0,0,0,0,88308.0,0,0,0
69,060,Aachen-Stadt,89538.0,67501.0,1449.0,66052.0,35114.0,0,0,0,20053.0,0,0,0,4204.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3573.0,0,0,0,0,0,0,0,3108.0,0,0,0
70,061,Aachen-Land,140432.0,115116.0,5856.0,109260.0,54842.0,0,0,0,35771.0,0,0,0,3601.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8860.0,0,0,0,0,0,0,0,6186.0,0,0,0
71,062,Geilenkirchen  Erkelenz  Jülich,135721.0,112555.0,5923.0,106632.0,68451.0,0,0,0,23011.0,0,0,0,3284.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3238.0,0,0,0,0,0,0,0,8648.0,0,0,0
72,063,Düren  Monschau  Schleiden,131306.0,106481.0,3794.0,102687.0,63189.0,0,0,0,22180.0,0,0,0,3614.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750.0,0,0,0,0,0,0,0,10954.0,0,0,0
73,064,Bergheim  Euskirchen,119961.0,100220.0,3893.0,96327.0,46087.0,0,0,0,33294.0,0,0,0,5634.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3017.0,0,0,0,0,0,0,0,8295.0,0,0,0
74,065,Köln-Land,97158.0,79822.0,3329.0,76493.0,32859.0,0,0,0,28178.0,0,0,0,6162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5569.0,0,0,0,0,0,0,0,3725.0,0,0,0
75,066,Köln I,153628.0,108467.0,1172.0,107295.0,45232.0,0,0,0,34809.0,0,0,0,16045.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7825.0,0,0,0,0,0,0,0,3384.0,0,0,0
76,067,Köln II,139774.0,100576.0,1507.0,99069.0,44461.0,0,0,0,32844.0,0,0,0,10893.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7575.0,0,0,0,0,0,0,0,3296.0,0,0,0
77,068,Köln III,118105.0,88290.0,1485.0,86805.0,37681.0,0,0,0,29930.0,0,0,0,7461.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8554.0,0,0,0,0,0,0,0,3179.0,0,0,0
78,069,Bonn-Stadt und -Land,175188.0,135712.0,2810.0,132902.0,72951.0,0,0,0,28262.0,0,0,0,18721.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3788.0,0,0,0,0,0,0,0,9180.0,0,0,0
79,070,Siegkreis,143918.0,116147.0,3940.0,112207.0,41717.0,0,0,0,23971.0,0,0,0,13535.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3890.0,0,0,0,0,0,0,0,29094.0,0,0,0
80,071,Oberbergischer Kreis,83669.0,64953.0,1417.0,63536.0,23526.0,0,0,0,20573.0,0,0,0,12381.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.0,0,0,0,0,0,0,0,5041.0,0,0,0
81,072,Rheinisch-Bergischer Kreis,108245.0,88181.0,2238.0,85943.0,41777.0,0,0,0,21109.0,0,0,0,8671.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3458.0,0,0,0,0,0,0,0,10928.0,0,0,0
82,073,Rhein-Wupper-Kreis,143549.0,112780.0,3025.0,109755.0,38216.0,0,0,0,26942.0,0,0,0,19392.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10831.0,0,0,0,0,0,0,0,14374.0,0,0,0
83,074,Remscheid  Solingen,182456.0,144955.0,2848.0,142107.0,30454.0,0,0,0,35456.0,0,0,0,28404.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29760.0,0,0,0,0,0,0,0,18033.0,0,0,0
84,075,Wuppertal I,130214.0,98273.0,1266.0,97007.0,0.0,0,0,0,32754.0,0,0,0,38251.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10235.0,0,0,0,0,0,0,0,15767.0,0,0,0
85,076,Wuppertal II,130716.0,100856.0,1505.0,99351.0,37230.0,0,0,0,30427.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11574.0,0,0,0,0,0,0,0,20120.0,0,0,0
86,077,Düsseldorf  Mettmann,160338.0,126516.0,3149.0,123367.0,42069.0,0,0,0,38750.0,0,0,0,13265.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13235.0,0,0,0,0,0,0,0,16048.0,0,0,0
